Symbol,Company Name,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
3MINDIA,3M India Ltd.,497.46,267.32,-589.83,3.59,0,0,-318.92,789.31,470.39
3PLAND,3p Land Holdings Ltd.,-0.22,-0.46,-12.46,-14.03,0,26.99,0.04,0.12,0.16
63MOONS,63 Moons Technologies Ltd.,10.96,-129.82,-164.82,-117.74,0,0,-412.38,454.38,42
AARTIIND,Aarti Industries Ltd.,591.05,700.33,-767.85,838.98,0,0,771.46,25.62,797.08
AARVEEDEN,Aarvee Denim and Exports Ltd.,1.73,38.79,-53.35,14.65,0,0,0.1,1.91,2.01
AAVAS,AAVAS Financiers  Ltd.,257.69,"-1,276.08",-327.19,"1,404.44",0,0,-198.82,358.49,159.66
ABAN,Aban Offshore Ltd.,-43.11,170.71,-935.47,793.14,0.01,0,28.38,-124.18,-95.8
ABFRL,Aditya Birla Fashion & Retail Ltd.,149.1,527.61,-276.55,-266.43,0,0,-15.37,72.56,57.19
ABHISHEK,Abhishek Corporation Ltd.,-144.83,125.01,-0.11,-123.89,0,0,1.01,0.25,1.26
ACCELYA,Accelya Solutions India Ltd.,118.9,127.83,-51.04,-52.7,-0.12,0,23.97,2.57,26.54
ACE,Action Construction Equipment Ltd.,84.35,72.05,-26.64,-43.65,0,0,1.76,6.67,8.44
ADANIENT,Adani Enterprises Ltd.,629.96,"1,907.96","2,396.77","-4,436.85",0,0,-132.12,272.95,140.83
ADANIGREEN,Adani Green Energy Ltd.,-39.16,534.31,184.82,-648.53,0.0,0.0,70.59,37.93,108.52
ADFFOODS,ADF Foods Industries Ltd.,44,26.22,-4.94,-32.18,-0.96,0,-11.86,24.2,12.35
ADORWELD,Ador Welding Ltd.,34.78,63.01,-19.12,-33.34,0.0,0.0,10.55,16.12,26.67
ADROITINFO,Adroit Infotech Ltd.,-1.35,8.63,-8.69,0,0,0,-0.06,0.09,0.03
ADSL,Allied Digital Services Ltd.,11.13,21.82,4.01,-31.2,0,0,-5.37,17.6,12.23
ADVANIHOTR,Advani Hotels and Resorts (India) Ltd.,13.92,11.4,-19.77,-3.56,0,0,-11.94,12.14,0.2
AGARIND,Agarwal Industrial Corporation Ltd.,19.93,29.07,-3.89,-26.22,0.0,0.0,-1.03,2.77,1.74
AGI,AGI Greenpac Ltd.,107.63,329.65,-323.02,-185.18,0,0,-178.56,235.19,56.63
AGRITECH,Agri-Tech (India) Ltd.,-0.36,-20.85,20.84,0,0,0,0,0.06,0.06
AGROPHOS,Agro Phos India Ltd.,1.63,2.48,-0.51,-1.92,0,0,0.06,0.07,0.13
AIAENG,AIA Engineering Ltd.,601.91,148.38,-161.15,2.64,0.52,0,-9.62,30.29,20.66
AIRAN,Airan Ltd.,8.19,8.1,-4.76,-2.72,0,0,0.62,0.92,1.54
AJANTPHARM,Ajanta Pharma Ltd.,513.05,312.08,-136.88,-180.9,0,0,-5.7,36.22,30.52
AJMERA,Ajmera Realty and Infra India Ltd.,82.71,-259.94,-15.48,283.37,0,0,7.94,1.94,9.89
AKSHARCHEM,AksharChem (India) Ltd.,33.41,-8.78,-1.96,7.15,0,0,-3.59,3.83,0.24
AKSHOPTFBR,Aksh Optifibre Ltd.,46.56,104.48,-20.53,-87.03,0,0,-3.08,4.27,1.19
AKZOINDIA,Akzo Nobel India Ltd.,315.6,141,185.2,-360,0,0,-33.8,66.2,32.4
ALBERTDAVD,Albert David Ltd.,28.85,31.96,-19.16,-17.09,-0.01,0,-4.3,10.71,6.41
ALEMBICLTD,Alembic Ltd.,44.7,21.52,71.66,-88.54,0,-3.47,1.17,0.81,1.99
ALKALI,Alkali Metals Ltd.,1.69,6.90,-2.81,-4.08,0.0,0.0,0.02,0.06,0.07
ALKEM,Alkem Laboratories Ltd.,943.96,745.09,-313.06,-275.75,0,0,156.28,5.16,161.44
ALLSEC,ALLSEC Technologies Ltd.,20.15,19.28,-9.31,-9.62,0.65,0,1,13.34,14.34
ALPA,Alpa Laboratories Ltd.,4.4,-0.82,-2.41,-4.88,0,0,-8.11,21.29,13.17
ALPHAGEO,Alphageo (India) Ltd.,76.85,108.61,-4.76,-27.79,0,0,76.07,5.68,81.75
ALPSINDUS,Alps Industries Ltd.,-85.64,61.45,-3.22,-56.95,0,0,1.28,1.34,2.62
AMBICAAGAR,Ambica Agar Ltd.,3.56,13.44,-1.01,-16.64,0,0,-4.21,6.99,2.79
AMBIKCO,Ambika Cotton Mills Ltd.,86.66,10.49,-45.81,36.5,0.01,0,1.19,4.71,5.89
AMDIND,AMD Industries Ltd.,0.39,23.98,1.1,-25.09,0,0,-0.01,0.11,0.1
AMJLAND,AMJ Land Ltd.,7.67,10.05,-5.82,-5.28,0,0,-1.05,4,2.95
AMRUTANJAN,Amrutanjan Health Care Ltd.,35.17,21.17,-11.01,-6.95,0,0,3.2,11.38,14.59
ANANTRAJ,Anant Raj Ltd.,41.87,"1,026.78","1,385.70","-2,416.18",0,0,-3.69,27,23.31
ANDHRAPAP,Andhra Paper Ltd.,311.33,310.03,-109.93,-201.32,-0.14,0,-1.36,16.01,14.65
ANDHRSUGAR,The Andhra Sugar Ltd.,254.03,122.61,-144.98,26.05,0,0,3.68,17.6,21.28
ANIKINDS,Anik Industries Ltd.,-22.67,14.05,-21.07,3.8,0,0,-3.22,6.33,3.11
ANKITMETAL,Ankit Metal and Power Ltd.,-92.27,138.91,-0.02,-140.46,0,0,-1.57,2.2,0.62
ANTGRAPHIC,Antarctica Ltd.,-0.13,-0.19,-0.07,0.23,0,0,-0.03,0.22,0.19
ANUP,The Anup Engineering Ltd.,58.79,54.97,-57.79,2.81,0,0,-0.02,0.02,0.01
APEX,Apex Frozen Foods Ltd.,93.67,48.99,-113.78,7.02,0,0,-57.77,64.44,6.67
APLAPOLLO,APL Apollo Tubes Ltd.,175.35,267.55,-123.07,-120.87,0,0,23.61,1.17,24.78
APLLTD,Alembic Pharmaceuticals Ltd.,764.63,808.8,-753.59,79.67,-0.07,0,134.81,9.45,144.26
APOLLOTYRE,Apollo Tyres Ltd.,806.39,592.67,-456.71,-178.01,0,0,-42.05,240.11,198.06
APOLSINHOT,Apollo Sindoori Hotels Ltd.,13.46,9.58,-1.63,-1.19,0,0,6.76,8.23,14.99
ARCHIDPLY,Archidply Industries Ltd.,5.09,-5.92,-2.45,6.64,0,0,-1.73,7.65,5.91
ARCHIES,Archies Ltd.,0.73,7.22,-4.56,-1.79,0,0,0.86,0.78,1.64
ARCOTECH,Arcotech Ltd.,-137.03,-94.45,-15.34,109.79,0,0,0,0.12,0.12
