Symbol,Company Name,INCOME,Revenue From Operations [Gross],Less: Excise/Sevice Tax/Other Levies,Revenue From Operations [Net],Total Operating Revenues,Other Income,Total Revenue,EXPENSES,Cost Of Materials Consumed,Purchase Of Stock-In Trade,Operating And Direct Expenses,"Changes In Inventories Of FG,WIP And Stock-In Trade",Employee Benefit Expenses,Finance Costs,Depreciation And Amortisation Expenses,Other Expenses,Total Expenses,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Exceptional Items,Profit/Loss Before Tax,Tax Expenses-Continued Operations,Current Tax,Less: MAT Credit Entitlement,Deferred Tax,Tax For Earlier Years,Total Tax Expenses,Profit/Loss After Tax And Before ExtraOrdinary Items,Profit/Loss From Continuing Operations,Profit/Loss For The Period,OTHER ADDITIONAL INFORMATION,EARNINGS PER SHARE,Basic EPS (Rs.),Diluted EPS (Rs.),"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",Imported Raw Materials,Indigenous Raw Materials,"STORES, SPARES AND LOOSE TOOLS",Imported Stores And Spares,Indigenous Stores And Spares,DIVIDEND AND DIVIDEND PERCENTAGE,Equity Share Dividend,Tax On Dividend,Equity Dividend Rate (%)
3MINDIA,3M India Ltd.,,"3,731.36",0,"3,731.36","3,733.44",64.22,"3,797.66",,"1,565.81",813.1,0,-39.14,365.53,7.1,56.12,468.35,"3,236.87",560.8,0,560.8,,139.67,0,4.99,0,144.65,416.14,416.14,416.14,,,369.41,369.41,,0,0,,0,0.0,,957.53,0.0,"9,500.00"
3PLAND,3p Land Holdings Ltd.,,2.52,0,2.52,2.52,0,2.53,,0,0,0,0,0.12,0,0.1,0.26,0.48,2.05,0,2.05,,0.52,0,-0.01,0,0.51,1.54,1.54,1.54,,,0.85,0.85,,0,0,,0,0.0,,0,0.0,0
63MOONS,63 Moons Technologies Ltd.,,272.48,0,272.48,272.49,102.41,374.91,,0,0,0,0,123.04,0.54,11.87,96.72,232.18,142.73,-73.87,68.86,,37.43,0,3.67,0,41.11,27.75,27.75,27.75,,,6.02,6.02,,0,0,,0,0.0,,0,0.0,100
AARTIIND,Aarti Industries Ltd.,,"7,100.03",661.37,"6,438.66","6,565.08",0.42,"6,565.50",,"3,465.13",290.4,841.06,46.09,383.1,165.8,310.01,450.91,"5,952.50",613,0,613,,107.24,41,17.5,-16.52,67.22,545.78,545.78,545.78,,,15.06,15.06,,955.81,"1,929.94",,1.38,93.8,,90.63,0.0,50
AARVEEDEN,Aarvee Denim and Exports Ltd.,,259.29,0,259.29,260.9,2.68,263.58,,158.57,0,0,33.34,24,45.9,25.28,73.16,360.25,-96.67,0,-96.67,,0,0,-27.36,0,-27.36,-69.31,-69.31,-65.05,,,-27.73,-27.73,,0,0,,0,0.0,,0,0.0,0
AAVAS,AAVAS Financiers  Ltd.,,"1,608.30",0,"1,608.30","1,608.30",1.84,"1,610.15",,0,0,7.56,0,300.59,591.05,28.72,120.81,"1,061.15",549,0,549,,104.1,0,14.82,0,118.92,430.07,430.07,430.07,,,54.44,54.32,,0,0,,0,0.0,,0,0.0,0
ABAN,Aban Offshore Ltd.,,75.99,0,75.99,75.99,14.9,90.9,,3.1,0,0,0,9.17,69.15,38.16,69.9,285.35,-194.45,93.31,-101.14,,0,0,11.5,0,11.5,-112.64,-112.64,-114.99,,,-19.71,-19.71,,0,0,,0,0.0,,0,0.0,0
ABFRL,Aditya Birla Fashion & Retail Ltd.,,"11,682.92",0,"11,682.92","11,736.86",110.16,"11,847.02",,"1,099.59","5,401.11",0,"-1,091.30","1,338.06",424.23,"1,114.46","3,394.62","11,680.77",166.25,0,166.25,,0,0,35.95,-2.22,33.73,132.52,132.52,132.52,,,1.4,1.39,,0,0,,0,0.0,,0,0.0,0
ABHISHEK,Abhishek Corporation Ltd.,,16.59,0,16.59,16.59,0.25,16.84,,0,0,11.17,0,9.79,0,11.62,1.25,33.83,-16.99,0,-16.99,,0,0,0,0,0,-16.99,-16.99,-16.99,,,-10.62,-10.62,,0,0,,0,1.38,,0,0.0,0
ACCELYA,Accelya Solutions India Ltd.,,411.6,0,411.6,411.6,10.31,421.92,,0,0,22.31,0,147.78,2.07,33.78,69.21,275.15,146.77,11.63,158.4,,39.88,0,0.01,0,39.89,118.51,118.51,118.51,,,79.39,79.39,,0,0,,0,0.0,,119.41,0.0,650
ACE,Action Construction Equipment Ltd.,,"2,155.72",0,"2,155.72","2,157.99",22.24,"2,180.23",,"1,578.36",0,0,-43.87,98.43,10.24,17.66,278.37,"1,961.07",219.16,0,219.16,,57.74,0,0.22,0,57.96,161.2,161.2,161.2,,,13.54,13.54,,0,0,,0,0.0,,7.15,0.0,50
ADANIENT,Adani Enterprises Ltd.,,"67,309.48",0,"67,309.48","67,324.71","1,267.51","68,592.22",,0,"57,222.42",646.92,757.94,651.9,665.21,131.04,"6,231.38","66,306.81","2,285.41",-71.67,"2,213.74",,573.11,0,17.9,0,591.01,"1,622.73","1,622.73","1,622.73",,,14.29,14.29,,0,0,,0,0.0,,114,0.0,120
ADANIGREEN,Adani Green Energy Ltd.,,"7,627.00",0,"7,627.00","7,629.00",780,"8,409.00",,0,"4,280.00",0,"3,218.00",36,892,11,238,"8,675.00",-266,-67,-333,,0,0,-5,0,-5,-328,-328,-328,,,-2.47,-2.47,,0,0,,0,0.0,,0,0.0,0
ADFFOODS,ADF Foods Industries Ltd.,,347.36,0,347.36,353.34,10.11,363.45,,143.58,7.55,0,-0.48,20.46,0.61,5.52,105.45,282.69,80.76,0,80.76,,20.49,0,2.24,-1.98,20.75,60.01,60.01,60.01,,,27.41,27.41,,0,0,,0,0.0,,8.79,0.0,50
ADORWELD,Ador Welding Ltd.,,771.15,0,771.15,776.76,6.67,783.43,,510.65,26.43,44.37,-13.96,56.85,2.36,11.61,65.21,703.52,79.91,-0.8,79.11,,21.74,0,-1.73,-0.19,19.82,59.29,59.29,59.29,,,43.6,43.6,,0,0,,0,0.0,,17,0.0,175
ADROITINFO,Adroit Infotech Ltd.,,5.5,0,5.5,5.5,0.1,5.6,,0,0,0,0,1.15,0.28,1.25,2.06,4.74,0.86,0,0.86,,0.03,0,-0.55,0,-0.52,1.38,1.38,1.38,,,0.73,0.73,,0,0,,0,0.0,,0,0.0,0
ADSL,Allied Digital Services Ltd.,,210.29,0,210.29,210.29,5.66,215.95,,0,0,88.92,-4.79,79.31,3.16,9.57,26.58,202.75,13.2,0,13.2,,3.88,0,0,0,3.88,9.32,9.32,-37.52,,,-6.9,-6.67,,0,0,,0,0.0,,10.9,0.0,25
ADVANIHOTR,Advani Hotels and Resorts (India) Ltd.,,91.72,0,91.72,98.64,1.99,100.63,,0,0,6.84,0,24.5,0.16,2.63,28.13,62.27,38.36,0,38.36,,9.44,0,0.24,0.08,9.76,28.6,28.6,28.6,,,6.19,6.19,,0,0,,0,0.0,,15.71,0.0,170
AGARIND,Agarwal Industrial Corporation Ltd.,,"1,761.45",0,"1,761.45","1,761.45",15.41,"1,776.86",,283.33,"1,363.01",67.81,-42.95,7.24,10.06,12.77,9.22,"1,710.49",66.37,0,66.37,,17.5,0,-0.76,0.28,17.02,49.35,49.35,49.35,,,34.12,34.12,,0,0,,0,0.0,,2.89,0.0,25
AGI,AGI Greenpac Ltd.,,"2,256.48",0,"2,256.48","2,281.48",25.95,"2,307.43",,700.1,44.13,0,17.89,172.85,57.06,126.26,884.94,"2,003.24",304.19,0,304.19,,71.55,0,-16.15,0,55.4,248.79,248.79,261.64,,,40.44,40.44,,0,0,,0,0.0,,32.35,0.0,250
AGRITECH,Agri-Tech (India) Ltd.,,0.23,0,0.23,0.23,0.38,0.62,,0,0,0.37,0,0.24,0,0.02,0.34,0.97,-0.35,0,-0.35,,0,0,0,0.04,0.04,-0.39,-0.39,-0.39,,,-0.64,-0.64,,0,0,,0,0.0,,0,0.0,0
AGROPHOS,Agro Phos India Ltd.,,131.02,0,131.02,131.02,0.34,131.35,,103.13,5.76,0,-19.46,4.05,2.13,1.56,27.07,124.24,7.11,0,7.11,,2.3,0,-0.25,0.05,2.11,5,5,5,,,2.47,2.47,,0,0,,0,0.0,,0,0.0,0
AIAENG,AIA Engineering Ltd.,,"3,974.31",0,"3,974.31","4,044.76",322.74,"4,367.50",,"2,014.95",3.52,0,-7.16,110.4,18.45,91.15,869.11,"3,100.42","1,267.08",0,"1,267.08",,293.09,0,5.06,0.1,298.26,968.83,968.83,968.83,,,102.72,102.72,,0,0,,0,0.0,,84.89,0.0,800
AIRAN,Airan Ltd.,,86.24,0,86.24,86.24,1.77,88,,0,0,22.93,0,42.34,0.33,3.97,6.46,76.03,11.97,0,11.97,,2.78,0,-0.2,0.12,2.71,9.27,9.27,9.27,,,0.72,0.72,,0,0,,0,0.0,,0,0.0,0
AJANTPHARM,Ajanta Pharma Ltd.,,"3,376.15",0,"3,376.15","3,411.27",132.75,"3,544.02",,878.36,149.04,0,-21.99,720.41,5.23,126.95,986.17,"2,844.17",699.85,0,699.85,,122.4,0,-2.93,21.66,141.13,558.72,558.72,558.72,,,43.61,43.61,,0,0,,0,0.0,,89.69,0.0,350
AJMERA,Ajmera Realty and Infra India Ltd.,,361.02,0,361.02,361.02,5.33,366.36,,0,0,185.71,0,14.7,19.99,1.21,49.87,271.48,94.88,0,94.88,,23.88,0,0,0,23.88,71,71,71,,,20.08,20.08,,0,0,,0,0.0,,7.98,0.0,30
AKSHARCHEM,AksharChem (India) Ltd.,,324.61,0,324.61,334.68,0.15,334.83,,184.2,25.08,0,9.01,11.74,3.22,12.85,89.23,335.33,-0.5,0,-0.5,,0,0,0.44,0,0.44,-0.94,-0.94,-0.94,,,-1.17,-1.17,,0,0,,0,0.0,,0.4,0.0,5
AKSHOPTFBR,Aksh Optifibre Ltd.,,270.82,0,270.82,273.71,4,277.71,,120.5,11.61,0,6,21.5,12.55,15.16,68.96,256.29,21.42,1.15,22.58,,5.82,0,1.07,0.26,7.15,15.43,15.43,15.43,,,0.95,0.95,,0,0,,0,0.0,,0,0.0,0
AKZOINDIA,Akzo Nobel India Ltd.,,"3,776.80",0.00,"3,776.80","3,802.10",27.40,"3,829.50",,"2,081.20",201.60,0.00,7.30,300.20,14.10,82.50,686.70,"3,373.60",455.90,0.00,455.90,,126.10,0.00,-5.30,0.0,120.80,335.10,335.10,335.10,,,73.58,73.58,,0.0,0.00,,0.0,0.0,,273.20,0.0,650.00
ALBERTDAVD,Albert David Ltd.,,340.01,0,340.01,341.56,15.4,356.96,,63.54,64.15,0,-4.6,81.07,0.46,8.55,93.06,306.23,50.74,0,50.74,,15.28,0,-1.4,0.68,14.56,36.17,36.17,36.17,,,63.39,63.39,,0,0,,0,0.0,,5.14,0.0,90
ALEMBICLTD,Alembic Ltd.,,115.71,0,115.71,123.16,64.11,187.27,,6.92,0,34.8,-0.6,24.04,0.16,6.36,20,91.67,95.6,-10.61,85,,3.25,0,2.48,0,5.73,79.27,79.27,79.27,,,3.09,3.09,,0,0,,0,0.0,,46.22,0.0,110
ALKALI,Alkali Metals Ltd.,,88.23,0,88.23,88.23,1.14,89.37,,39.65,0,0,-2.3,13.17,2.67,4.29,28.04,85.51,3.86,-0.09,3.77,,0.65,0.65,0.85,0,0.85,2.91,2.91,2.91,,,2.77,2.77,,0,0,,0,0.0,,2.04,0.0,20
ALKEM,Alkem Laboratories Ltd.,,"9,054.55",0.00,"9,054.55","9,054.55",266.29,"9,320.84",,"2,629.78",943.13,0.00,257.73,"1,516.22",86.40,229.85,"2,330.74","7,993.85","1,326.99",0.00,"1,326.99",,192.52,0.00,0.00,0.0,192.52,"1,134.47","1,134.47","1,134.47",,,94.88,94.88,,0.0,0.00,,0.0,0.0,,0.00,0.0,"2,500.00"
ALLSEC,ALLSEC Technologies Ltd.,,279.07,0,279.07,279.07,34.15,313.22,,0,0,0,0,171.45,3.1,22.64,58.18,255.37,57.85,0,57.85,,11.91,0,-0.38,0,11.53,46.32,46.32,46.32,,,30.4,30.4,,0,0,,0,0.0,,30.48,0.0,200
ALPA,Alpa Laboratories Ltd.,,92.41,0,92.41,92.96,9.41,102.36,,52.45,1.22,6.55,1.27,12.17,0.22,1.33,11.21,86.43,15.93,0,15.93,,3.6,0,-0.29,0,3.31,12.62,12.62,12.62,,,5.9,5.9,,0,0,,0,0.0,,0,0.0,0
ALPHAGEO,Alphageo (India) Ltd.,,65.95,0.00,65.95,65.95,23.98,89.93,,0.00,0.00,37.47,0.00,13.58,0.46,11.02,7.14,69.68,20.25,0.00,20.25,,0.62,0.00,4.25,0.0,4.87,15.38,15.38,15.38,,,24.17,24.17,,0.0,0.00,,0.0,0.0,,5.09,0.0,80.00
ALPSINDUS,Alps Industries Ltd.,,17.23,0,17.23,17.94,2.29,20.23,,14.09,0,0.57,0,2.85,54.87,0,8.28,80.66,-60.43,0,-60.43,,0,0,0,0,0,-60.43,-60.43,-60.43,,,-15.45,-15.45,,2.66,11.43,,0,0.0,,0,0.0,0
AMBICAAGAR,Ambica Agar Ltd.,,117.24,0,117.24,117.24,5.36,122.6,,33.83,57.85,0,0,2.84,8.54,1.84,14.65,119.54,3.05,0,3.05,,0,0,0.53,0,0.53,2.53,2.53,2.53,,,1.47,1.47,,0,0,,0,0.0,,0,0.0,0
AMBIKCO,Ambika Cotton Mills Ltd.,,816.97,0,816.97,847.5,13.85,861.35,,660.6,0,0,-143.93,51.74,6.4,29.82,104.25,708.87,152.48,0,152.48,,42.08,0,-1.5,0,40.59,111.89,111.89,111.89,,,195.45,195.45,,0,0,,0,0.0,,20.04,0.0,350
AMDIND,AMD Industries Ltd.,,403.94,58.63,345.31,350,0.56,350.56,,244.88,1.33,0,-18.93,19.42,9.26,13.52,54.78,324.26,26.3,0,26.3,,7.7,0,-0.59,-0.01,7.1,19.21,19.21,19.21,,,10.02,10.02,,0,0,,0,0.0,,1.44,0.0,0
AMJLAND,AMJ Land Ltd.,,3.47,0,3.47,8.9,3.83,12.73,,0,0,0.27,-0.27,1.61,0,1.85,2.28,5.74,6.99,0,6.99,,0.44,0,0.04,0,0.48,6.51,6.51,6.51,,,1.59,1.59,,0,0,,0,0.0,,0.82,0.0,10
AMRUTANJAN,Amrutanjan Health Care Ltd.,,378.23,0,378.23,379.64,14.54,394.18,,105.17,78.53,0,-1.73,48.81,0.08,5.21,104.45,340.53,53.65,0,53.65,,14.01,0,-0.2,0,13.81,39.83,39.83,39.83,,,13.65,13.63,,0,0,,0,0.0,,5.85,0.0,460
ANANTRAJ,Anant Raj Ltd.,,648.7,0,648.7,648.7,69.45,718.16,,0,0,501.33,0,12.59,21.83,14.41,26.97,577.12,141.03,0,141.03,,23.91,0,10.5,0,34.41,106.62,106.62,106.62,,,3.3,3.3,,0,0,,0,0.0,,3.54,0.0,25
ANDHRAPAP,Andhra Paper Ltd.,,"2,083.06",0,"2,083.06","2,097.66",52.02,"2,149.67",,821.18,0,0,1.76,164.76,7.17,63.2,375.24,"1,433.31",716.37,-15.38,700.98,,186.44,0,-7.92,0,178.52,522.46,522.46,522.46,,,131.37,131.37,,0,0,,0,0.0,,29.83,0.0,125
ANDHRSUGAR,The Andhra Sugar Ltd.,,"1,452.92",0,"1,452.92","1,452.92",27.14,"1,480.06",,461.29,0.7,0,2.62,149.75,2.88,60.89,557.59,"1,235.72",244.34,-11.04,233.3,,59.25,0,0,0,59.25,174.05,174.05,174.05,,,12.84,12.84,,0,0,,0,0.0,,0,0.0,100
ANIKINDS,Anik Industries Ltd.,,118.1,0,118.1,118.1,4.39,122.49,,24.48,52.26,0,14.59,3.21,3.57,0.81,17.8,116.7,5.78,0,5.78,,0.97,0,-0.26,0,0.71,5.07,5.07,5.07,,,1.83,1.83,,0,0,,0,0.0,,0,0.0,0
ANKITMETAL,Ankit Metal and Power Ltd.,,757.5,0,757.5,853.99,0.09,854.08,,530.01,113.07,5.63,71.03,12.59,0.08,35.28,185.14,952.83,-98.75,0,-98.75,,0,0,0,0,0,-98.75,-98.75,-98.75,,,-7,-7,,0,0,,0,0.0,,0,0.0,0
ANTGRAPHIC,Antarctica Ltd.,,0.68,0,0.68,0.68,0.11,0.78,,0.26,0,0,-0.19,0.14,0,0.12,0.46,0.79,-0.01,0,-0.01,,0,0,0,0,0,-0.01,-0.01,-0.01,,,0,0,,0,0,,0,0.0,,0,0.0,0
ANUP,The Anup Engineering Ltd.,,404.05,0,404.05,411.34,4.4,415.73,,233.21,0,0,-11.38,20.96,1.39,12.54,85.81,342.54,73.2,0,73.2,,18.15,0,0.42,0,18.57,54.63,54.63,54.63,,,55.25,54.89,,0,0,,0,0.0,,7.9,0.0,150
APEX,Apex Frozen Foods Ltd.,,"1,011.43",0,"1,011.43","1,070.30",1.72,"1,072.02",,719.1,0,0,22.78,46.03,14.71,19.43,199.34,"1,021.40",50.63,0,50.63,,14.11,0,0.64,0,14.75,35.87,35.87,35.87,,,11.48,11.48,,0,0,,0,0.0,,7.81,0.0,25
APLAPOLLO,APL Apollo Tubes Ltd.,,"13,876.85",0,"13,876.85","14,279.29",41.91,"14,321.20",,"11,665.27","1,343.47",0,-364.94,148.9,47.51,102.46,689.36,"13,632.03",689.17,0,689.17,,173.61,0,3.64,0,177.25,511.92,511.92,511.92,,,18.47,18.45,,0,0,,0,0.0,,87.6,0.0,250
APLLTD,Alembic Pharmaceuticals Ltd.,,"5,003.13",0,"5,003.13","5,149.00",3.54,"5,152.54",,"1,250.08",337.21,31.02,72.84,"1,094.82",49,272.95,"1,698.68","4,806.60",345.94,0,345.94,,0,0,0,-0.79,-0.79,346.73,346.73,346.73,,,17.64,17.64,,0,0,,0,0.0,,196.56,0.0,400
APOLLOTYRE,Apollo Tyres Ltd.,,"16,889.91",0,"16,889.91","17,301.02",75.13,"17,376.15",,"10,693.77",962.82,0,45.55,"1,025.92",467.23,907.05,"2,462.04","16,564.38",811.77,0,811.77,,147.72,0,85.31,0,233.03,578.74,578.74,578.74,,,9.11,9.11,,0,0,,0,0.0,,206.41,0.0,450
APOLSINHOT,Apollo Sindoori Hotels Ltd.,,258.49,0,258.49,258.49,9.94,268.43,,0,0,113.22,0,116.03,4.05,3.18,15.39,251.87,16.56,0,16.56,,4,0,-0.45,1.09,4.64,11.93,11.93,11.93,,,45.86,45.86,,0,0,,0,0.0,,0.39,0.0,30
ARCHIDPLY,Archidply Industries Ltd.,,413.68,0,413.68,414.5,2.25,416.75,,150.29,126.91,26.96,2.18,28.85,5.76,3.99,55.3,400.24,16.51,0,16.51,,4.22,0,0.07,0,4.29,12.23,12.23,12.23,,,6.15,6.15,,12.52,137.77,,0.03,5.56,,0,0.0,0
ARCHIES,Archies Ltd.,,83.19,0,83.19,86.03,5.03,91.06,,16.05,21.07,0,-2.31,18.08,5.19,10.26,28.68,89.95,1.11,0,1.11,,0,0,-1.29,0,-1.29,2.41,2.41,2.41,,,0.71,0.71,,0,0,,0,0.0,,0,0.0,0
ARCOTECH,Arcotech Ltd.,,0,0,0,0,0.04,0.04,,0,0,0,0,0.36,21.73,10.98,87.12,120.19,-120.15,0,-120.15,,0,0,-37.99,0,-37.99,-82.16,-82.16,-82.16,,,-7.82,-7.82,,0,0,,0,0.0,,0,0.0,0
ARENTERP,Rajdarshan Industries Ltd.,,1.9,0,1.9,1.9,0.55,2.45,,0,1.07,0,0,0.16,0,0.01,0.9,2.14,0.31,0,0.31,,0.06,0,-0.05,0,0.01,0.3,0.3,0.3,,,0.95,0.95,,0,0,,0,0.0,,0,0.0,0
ARIES,Aries Agro Ltd.,,469.88,0,469.88,469.88,13.28,483.16,,159.67,74.72,31.54,13.16,50.82,23.14,7.62,93.13,453.81,29.36,0,29.36,,5.33,0,3.27,0.52,9.12,20.23,20.23,20.23,,,15.56,15.56,,21.94,112.88,,0,0.0,,1.04,0.0,10
ARIHANTSUP,Arihant Superstructures Ltd.,,74.71,0,74.71,74.83,6.37,81.2,,0,0,48.34,-16.84,7.46,7.01,0.39,16.42,62.78,18.42,0,18.42,,3.22,3.22,-0.05,0,-0.05,18.47,18.47,18.47,,,4.49,4.49,,0,0,,0,0.0,,0,0.0,5
ARROWGREEN,Arrow Greentech Ltd.,,105.44,0,105.44,105.51,4.11,109.62,,50.99,4.7,0,-4.84,8.48,1.04,4.28,18.37,83.02,26.6,0,26.6,,6.55,0,1.7,-0.53,7.72,18.88,18.88,18.88,,,13.09,13.09,,0,0,,0,0.0,,0,0.0,0
ARVIND,Arvind Ltd.,,"7,478.48",0,"7,478.48","7,722.69",51.41,"7,774.10",,"3,917.70",156.87,36.32,87.45,757.11,154.56,208.49,"2,069.93","7,388.43",385.67,28.51,414.18,,90.88,0,-37.78,9.13,62.23,351.95,351.95,345.91,,,13.26,13.23,,0,0,,0,0.0,,0,0.0,58
ARVSMART,Arvind SmartSpaces Ltd.,,103.18,0,103.18,117.28,37.45,154.73,,0,0,46.47,14.82,18.76,5.57,1.28,20.5,107.39,47.34,0,47.34,,10.05,0,0.06,-1.04,9.07,38.27,38.27,38.27,,,8.71,8.41,,0,0,,0,0.0,,0,0.0,33
ASAHIINDIA,Asahi India Glass Ltd.,,"3,884.22",0,"3,884.22","3,918.37",21.47,"3,939.84",,"1,395.20",17.41,0,-73.17,294.17,101.07,153.74,"1,476.32","3,364.74",575.1,0,575.1,,194.26,0,6.11,6.91,207.28,367.82,367.82,367.82,,,15.13,15.13,,0,0,,0,0.0,,48.62,0.0,200
ASAL,Automotive Stampings and Assemblies Ltd.,,827.55,0.00,827.55,828.23,2.34,830.57,,670.20,0.00,0.00,-3.95,40.47,12.70,13.82,89.00,822.24,8.33,0.00,8.33,,0.00,0.00,0.00,0.0,0.00,8.33,8.33,8.33,,,5.25,5.25,,0.0,0.00,,0.0,0.0,,0.00,0.0,0.00
ASHIANA,Ashiana Housing Ltd.,,350.51,0,350.51,350.51,14.48,365,,0,0,520.02,-279.36,38.05,2.96,7.68,43.3,332.64,32.36,0,32.36,,6.06,0,-0.76,0,5.3,27.06,27.06,27.06,,,2.72,2.72,,0,0,,0,0.0,,5.12,0.0,25
ASHIMASYN,Ashima Ltd.,,204.85,0,204.85,206.98,3.64,210.62,,102.33,17.78,13.44,-8.18,31.56,2.25,4.13,54.95,218.26,-7.64,-0.05,-7.69,,0,0,0,0,0,-7.69,-7.69,-6.65,,,-0.35,-0.35,,0,0,,0,0.0,,0,0.0,0
ASHOKA,Ashoka Buildcon Ltd.,,"6,211.64",0,"6,211.64","6,372.35",105.68,"6,478.03",,0,0,"5,524.72",0,191.48,140.98,74.24,122.47,"6,053.88",424.14,349.15,773.3,,112.04,0,-10.02,0,102.02,671.27,671.27,671.27,,,23.91,23.91,,0,0,,0,0.0,,0,0.0,0
ASIANHOTNR,Asian Hotels (North) Ltd.,,255.78,0.00,255.78,255.78,1.67,257.45,,0.00,0.00,35.97,0.00,54.23,117.82,23.06,111.19,342.27,-84.82,0.00,-84.82,,0.00,0.00,0.00,0.0,0.00,-84.82,-84.82,-84.82,,,-43.60,-43.6,,0.0,0.00,,0.0,0.0,,0.00,0.0,0.00
ASIANPAINT,Asian Paints Ltd.,,"29,953.12",0,"29,953.12","30,078.40",518.01,"30,596.41",,"14,790.95","3,836.33",0,-299.74,"1,513.89",93.06,755.83,"4,416.49","25,106.81","5,489.60",0,"5,489.60",,"1,418.38",0,-34.9,5.94,"1,389.42","4,100.18","4,100.18","4,100.18",,,42.76,42.76,,0,0,,0,0.0,,"1,908.86",0.0,"2,565.00"
ASPINWALL,Aspinwall and Company Ltd.,,285.79,0.00,285.79,288.85,5.92,294.77,,70.28,13.30,0.00,4.63,47.90,1.63,4.47,132.39,274.35,20.42,9.58,30.00,,3.61,0.00,2.45,0.0,6.06,23.94,23.94,23.94,,,30.61,30.61,,0.0,0.00,,0.0,0.0,,4.69,0.0,60.00
ASTRAL,Astral Ltd.,,"4,598.30",0.00,"4,598.30","4,611.60",23.90,"4,635.50",,"2,998.00",60.40,0.00,6.40,246.60,33.30,137.40,549.10,"4,031.20",604.30,-3.30,601.00,,152.50,0.00,0.60,0.0,153.10,447.90,447.90,447.90,,,16.67,16.67,,0.0,0.00,,0.0,0.0,,60.30,0.0,350.00
