Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield
3MINDIA,3M India Ltd.,,286.72,286.72,323.89,"1,650.70","1,650.70",0.0,"2,493.33",479.74,442.56,441.59,286.72,,19.24,17.74,17.71,11.49,17.36,26.33,12.95,0.0,112.63,,2.48,1.85,7.41,0,0.0,0,0.0,,"26,649.79",9.49,49.31,9.65,0,14.58,9.65,0.01
3PLAND,3p Land Holdings Ltd.,,-0.11,-0.11,-0.02,20.82,20.82,0.0,1.02,0.72,0.63,-0.12,-0.11,,70.17,61.59,-11.8,-10.9,-0.53,3.01,-0.5,0.06,4.6,,15.71,15.71,0,0,0.0,0,0.0,,20.63,11.19,15.95,9.99,0,0.49,9.99,-0.01
63MOONS,63 Moons Technologies Ltd.,,0.02,0.02,3.95,619.79,619.79,2.0,31.94,9.43,5.5,2.38,0.02,,29.51,17.2,7.44,0.06,0,0.88,0.0,0.0,4.99,,15.49,15.49,0,"11,997.84",61.0,"-11,897.84",39.0,,-602.69,-4.09,-13.87,2.53,"-11,897.84",0.13,2.53,0.0
AARTIIND,Aarti Industries Ltd.,,59.1,59.1,72.96,295.45,295.45,11.0,524.79,106.3,88.88,68.2,55.54,,20.25,16.93,12.99,10.58,18.79,20.57,8.55,0.81,80.8,,1.34,0.97,6.49,8.82,6.71,91.18,93.29,,"14,905.66",3.28,16.18,3.0,91.17,5.32,3.0,0.04
AARVEEDEN,Aarvee Denim and Exports Ltd.,,0.46,0.46,14.95,116.42,116.42,0.0,320.36,36.23,21.75,0.74,0.46,,11.31,6.78,0.22,0.14,0.39,11.18,0.11,1.57,78.09,,1.1,0.66,3.37,0,0.0,0,0.0,,465.3,0.62,5.47,0.07,0,0.2,0.07,0.02
AAVAS,AAVAS Financiers  Ltd.,,23.65,23.08,23.77,235.18,235.18,0.0,90.9,66.93,65.69,32.99,22.52,,73.63,72.26,36.29,24.77,9.57,9.25,3.12,1.99,12.61,,68.81,68.81,0,0,0.0,0,0.0,,"12,040.87",16.96,23.03,12.77,0,4.94,12.77,0.02
ABAN,Aban Offshore Ltd.,,-11.88,-11.88,14.55,690.4,690.4,0.0,45.04,37.65,11.22,-7.39,-11.88,,83.59,24.91,-16.39,-26.36,-1.72,1.48,-1.18,0.03,4.51,,0.49,0.42,2.79,0,0.0,0,0.0,,432.27,1.64,1.97,1.28,0,0.08,1.28,-0.21
ABFRL,Aditya Birla Fashion & Retail Ltd.,,4.15,4.15,7.8,18.47,18.47,0.0,104.95,8,4.35,1.93,4.15,,7.62,4.14,1.83,3.95,22.48,13.78,4.85,0.84,1.31,,0.81,0.35,0.33,0,0.0,0,0.0,,"18,230.86",2.25,29.46,2.11,0,11.96,2.11,0.02
ABHISHEK,Abhishek Corporation Ltd.,,-90.58,-90.58,-76.65,-519.27,-519.27,0.0,11.49,0.74,-13.19,-90.58,-90.58,,6.46,-114.84,-788.44,-788.44,0,2.54,-113.79,-0.03,14.43,,0.01,0.01,4.17,0,0.0,0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0
ACCELYA,Accelya Solutions India Ltd.,,59.38,59.38,80.89,158.07,158.07,10.0,237.81,104.85,83.33,79.66,59.38,,44.08,35.04,33.49,24.97,37.56,44.37,25.56,0.0,102.39,,2.48,2.48,0,42.09,30.9,57.91,69.1,,"1,323.53",3.73,8.46,3.86,57.9,5.81,3.86,0.06
