Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield,,,,,
3MINDIA,3M India Ltd.,,236.28,236.28,283.58,"2,209.28","2,209.28",0,"2,732.60",369.82,322.53,319.3,236.28,,13.53,11.8,11.68,8.64,10.69,14.27,8.17,0,1,,3.12,2.49,2.94,0,0,0,0,,"20,947.07",6.8,50.28,7.2,0,8.9,7.2,0.01,,,,,
3PLAND,3p Land Holdings Ltd.,,0.71,0.71,0.76,37.98,37.98,0,1.19,0.99,0.94,0.94,0.71,,83.14,78.7,78.7,59.12,1.85,2.41,1.8,0,0.04,,"1,634.06","1,634.06",0,0,0,0,0,,26.01,12.12,14.58,12.16,0,0.38,12.16,0.05,,,,,
63MOONS,Reliance Infrastructure Ltd.,,-13.31,-13.31,-10.69,562.13,562.13,0,31.34,0.35,-2.27,-13.66,-13.31,,1.11,-7.24,-43.58,-42.48,-2.36,-0.4,-2.25,0,0.05,,12.39,12.39,0,-15.02,-18.7,115.02,118.7,,130.41,0.9,80.96,8.56,115.02,0.48,8.56,-0.05,,,,,
AARTIIND,Aarti Industries Ltd.,,32.61,32.61,39.34,124.17,124.17,3.5,166.63,47.21,40.48,37.68,32.61,,28.33,24.29,22.61,19.56,26.26,25.88,15.09,0.57,0.79,,1.25,0.84,3.15,10.73,8.89,89.27,91.11,,"37,058.95",6.14,21.65,5.74,89.26,7.7,5.74,0.03,,,,,
AARVEEDEN,Aarvee Denim and Exports Ltd.,,-17.66,-17.66,-6.79,53.85,53.85,0,179.48,-2.87,-13.74,-32.1,-17.66,,-1.59,-7.65,-17.88,-9.83,-32.78,-11.3,-6.58,3.27,0.63,,1.08,0.63,1.83,0,0,0,0,,452.66,1.08,-67.19,0.13,0,0.44,0.13,-0.74,,,,,
AAVAS,AAVAS Financiers  Ltd.,,45.31,45.02,48.21,355.76,355.76,0,165.24,121.12,118.12,57.62,45.2,,73.3,71.48,34.87,27.35,12.7,19.95,3.23,2.84,0.13,,1.72,1.72,0,0,0,0,0,,"26,694.22",20.47,27.92,15.53,0,7.21,15.53,0.02,,,,,
ABAN,Aban Offshore Ltd.,,-18.12,-18.12,-11.17,-131.05,-131.05,0,14.06,1.65,-5.3,-17.2,-18.12,,11.71,-37.66,-122.28,-128.84,0,4.04,-12.45,0,0.09,,0.37,0.33,0.03,0,0,0,0,,265.94,3.24,27.66,3.28,0,-0.35,3.28,-0.39,,,,,
ABFRL,Aditya Birla Fashion & Retail Ltd.,,-0.87,-0.87,9.23,30.72,30.72,0,83.39,12.51,2.42,-1.21,-0.86,,14.99,2.89,-1.45,-1.03,-2.8,3.77,-0.69,0.42,0.73,,0.9,0.41,0.36,0,0,0,0,,"29,435.81",3.76,25.08,3.62,0,9.83,3.62,0,,,,,
ABHISHEK,Abhishek Corporation Ltd.,,-11.3,-11.3,-0.25,-556.67,-556.67,0,16.97,-0.25,-11.3,-11.3,-11.3,,-1.45,-66.6,-66.6,-66.6,0,2.03,-25.2,-0.03,0.34,,0.01,0.01,0.12,0,0,0,0,,25.05,0.92,-63.43,0.03,0,0,0.03,-19.83,,,,,
ACCELYA,Accelya Solutions India Ltd.,,51.88,51.88,75.6,171.73,171.73,62,219.18,94.01,70.29,67.99,51.88,,42.89,32.06,31.02,23.66,30.2,38.04,23.06,0,1,,3.26,3.26,0,65.53,44.97,34.47,55.03,,"1,275.69",3.9,9.09,4.02,34.46,5.13,4.02,0.06,,,,,
ACE,Action Construction Equipment Ltd.,,9.1,9.1,10.18,63.41,63.41,0.6,136.91,14.05,12.77,11.62,8.89,,10.26,9.32,8.48,6.49,14.02,19.7,8.27,0.01,1.4,,1.41,0.75,3.98,5.35,4.68,94.65,95.32,,"2,856.94",1.75,17.07,1.76,94.64,3.79,1.76,0.04,,,,,
ADANIENT,Adani Enterprises Ltd.,,6.55,6.55,7.69,43.01,43.01,1,243.9,16.45,15.32,10.12,6.55,,6.74,6.28,4.15,2.68,15.23,22.52,3.32,0.89,1.55,,1.09,0.75,0,15.26,13,84.74,87,,"225,423.31",8.4,124.59,8.26,84.73,46.86,8.26,0,,,,,
ADANIGREEN,Adani Green Energy Ltd.,,-0.76,-0.76,-0.33,9.72,9.72,0,68.24,3.91,3.86,-0.83,-0.37,,5.72,5.65,-1.21,-0.54,-3.81,3.11,-0.2,11.37,0.51,,0.83,0.31,0,0,0,0,0,,"316,175.76",29.63,517.47,28.04,0,196.89,28.04,0,,,,,
ADFFOODS,ADF Foods Industries Ltd.,,20.68,20.13,22.02,163.61,163.61,4,141.49,29.24,26.66,26.3,19.44,,20.66,18.84,18.58,13.73,11.88,15.87,10.6,0,0.85,,6.59,5.52,3.66,14.47,12.78,85.53,87.22,,"1,597.55",5.29,25.6,5.47,85.52,4.73,5.47,0.03,,,,,
ADORWELD,Ador Welding Ltd.,,33.23,33.23,41.19,207.36,207.36,12.5,486.38,46.91,38.95,42.82,33.23,,9.64,8,8.8,6.83,16.02,18.34,11.5,0,1.72,,2.2,1.33,5.53,0,0,0,0,,834.51,1.26,13.08,1.27,0,2.98,1.27,0.05,,,,,
ADROITINFO,Adroit Infotech Ltd.,,0.34,0.34,0.93,3.79,3.79,0,3.49,1.06,0.46,0.33,0.34,,30.31,13.28,9.53,9.71,8.93,6.56,3.53,0.26,0.4,,1.45,1.45,0,0,0,0,0,,22.88,3.59,11.85,3.32,0,3.05,3.32,0.03,,,,,
ADSL,Allied Digital Services Ltd.,,1.09,1.02,3.39,90.94,90.94,1,22.62,4.32,1.98,1.49,1.05,,19.1,8.75,6.59,4.64,1.15,2.03,0.96,0.09,0.21,,4.06,3.48,0,66.78,20.67,33.22,79.33,,652.5,5.32,27.86,5.05,33.21,1.26,5.05,0.01,,,,,
ADVANIHOTR,Advani Hotels and Resorts (India) Ltd.,,1.41,1.41,2.03,10.79,10.79,1.4,11.11,2.52,1.9,1.89,1.41,,22.69,17.1,16.99,12.67,13.05,15.63,8.68,0,0.74,,1.69,1.61,0,0,0,0,0,,420.52,8.19,36.09,8.21,0,8.46,8.21,0.02,,,,,
AGARIND,Agarwal Industrial Corporation Ltd.,,30.94,30.94,39.42,179.79,179.79,2,"1,063.91",58.42,48.2,39.47,29.2,,5.49,4.53,3.7,2.74,16.23,23.07,8.93,0.52,3.73,,2.14,1.74,6.41,5.81,4.3,94.19,95.7,,968.26,0.69,12.55,0.63,94.18,3.75,0.63,0.04,,,,,
AGI,AGI Greenpac Ltd.,,17.99,17.99,45.33,215.16,215.16,5,221.09,47.45,32,27.66,29.88,,21.46,14.47,12.5,13.51,13.88,8.17,5.89,0.83,0.47,,1.84,1.44,1.18,13.38,8.82,86.62,91.18,,"3,020.81",2.11,9.84,1.34,86.61,1.38,1.34,0.1,,,,,
AGRITECH,Agri-Tech (India) Ltd.,,4.6,4.6,4.66,154.7,154.7,0,0.48,6.53,6.5,4.63,4.63,,"1,363.47","1,356.94",966.32,966.32,2.99,4.19,2.37,0.04,0,,3.46,3.45,0,0,0,0,0,,76.42,268.61,19.7,256.18,0,0.79,256.69,0.04,,,,,
AGROPHOS,Agro Phos India Ltd.,,2.88,2.88,3.48,23.17,23.17,0.25,57.26,4.92,4.32,3.49,2.88,,8.59,7.53,6.1,5.02,12.41,17.26,6.88,0.27,1.48,,1.79,0.86,2.1,8.74,7.22,91.26,92.78,,56.49,0.49,5.66,0.4,91.25,1,0.4,0.12,,,,,
AIAENG,AIA Engineering Ltd.,,61.97,61.97,71.49,487.16,487.16,9,326.71,89.69,80.16,79.78,61.97,,27.45,24.53,24.41,18.96,12.72,16.22,12.01,0,0.66,,17.11,14.02,3.3,14.52,12.58,85.48,87.42,,"14,929.02",4.84,17.65,4.98,85.47,3.34,4.98,0.04,,,,,
AIRAN,Airan Ltd.,,0.67,0.67,1.02,7.55,7.55,0,6.14,1.17,0.83,0.81,0.68,,19.13,13.45,13.21,11.01,8.94,9.98,7.51,0.02,0.7,,5.45,5.45,0,0,0,0,0,,227.68,2.97,15.51,2.95,0,2.4,2.95,0.04,,,,,
AJANTPHARM,Ajanta Pharma Ltd.,,83.28,83.28,97.94,369.15,369.15,9.5,365.83,120.05,105.96,104.9,83.85,,32.81,28.96,28.67,22.92,22.71,27.47,19.04,0,0.86,,4.38,3.03,1.22,11.42,9.77,88.58,90.23,,"15,386.30",4.9,14.93,4.95,88.57,4.9,4.95,0.05,,,,,
AJMERA,Ajmera Realty and Infra India Ltd.,,11.37,11.37,11.8,180.65,180.65,2.25,114.07,29.37,28.98,15.25,11.41,,25.74,25.4,13.37,10,6.31,6.86,2.58,1.18,0.27,,11.82,2.78,0,0,0,0,0,,"1,894.09",4.68,18.17,2.87,0,1.81,2.87,0.03,,,,,
AKSHARCHEM,AksharChem (India) Ltd.,,19.5,19.5,35.02,348.21,348.21,0.5,473.47,40.3,25.09,22.34,19.81,,8.51,5.29,4.71,4.18,5.68,6.29,3.92,0.18,1,,1.78,0.94,3.4,18.03,10.2,81.97,89.8,,327.99,0.86,10.13,0.74,81.96,1,0.74,0.06,,,,,
AKSHOPTFBR,Aksh Optifibre Ltd.,,1.05,1.05,1.97,17.49,17.49,0,18.51,3.6,2.68,1.47,1.05,,19.46,14.5,7.95,5.65,5.98,14.3,3.21,0.38,0.56,,0.8,0.65,3.97,0,0,0,0,,252.52,0.84,4.31,0.54,0,0.57,0.54,0.1,,,,,
AKZOINDIA,Akzo Nobel India Ltd.,,63.68,63.68,80.42,276.4,276.66,75,692,100.02,83.34,80.59,63.74,,14.45,12.04,11.64,9.21,23.05,26.95,11.19,0,1.23,,1.49,0.93,3.08,109.93,87.12,-9.93,12.88,,"8,250.87",2.62,18.13,2.77,-9.93,6.92,2.77,0.03,,,,,
ALBERTDAVD,Albert David Ltd.,,61.78,61.78,77.21,489.68,489.68,9,549.33,99.24,83.81,82.87,61.78,,18.06,15.25,15.08,11.24,12.61,16.27,8.75,0.01,0.84,,2.33,1.97,1.37,9.71,7.77,90.29,92.23,,288.62,0.92,5.1,0.97,90.28,1.09,0.97,0.12,,,,,
ALEMBICLTD,Alembic Ltd.,,3.34,3.34,3.51,39.48,39.48,1.8,2.96,3.97,3.8,3.79,3.34,,134.26,128.34,128.04,112.82,8.45,9.05,7.49,0,0.07,,2.1,0.8,0.12,5.99,5.69,94.01,94.31,,"1,856.23",24.43,18.2,24.45,94,1.83,24.45,0.05,,,,,
ALKALI,Alkali Metals Ltd.,,3.46,3.46,7.21,50.33,51.15,2,89.38,11.47,7.68,4.94,3.42,,12.82,8.58,5.53,3.82,6.79,12.69,3.49,0.34,0.92,,1.23,0.56,1.39,23.4,11.09,76.6,88.91,,94.23,1.04,8.07,0.87,76.59,1.55,0.87,0.04,,,,,
ALKEM,Alkem Laboratories Ltd.,,128.9,128.9,147.24,731.38,731.38,34,738.59,168.15,149.83,146.66,128.92,,22.76,20.28,19.85,17.45,17.62,19.8,11.7,0.26,0.74,,1.66,1.18,1.63,27.15,23.77,72.85,76.23,,"43,190.74",4.89,21.49,4.9,72.84,4.95,4.9,0.04,,,,,
ALLSEC,ALLSEC Technologies Ltd.,,64,64,75.84,106.33,106.33,45,145.15,91.39,79.55,78.36,64,,62.96,54.8,53.98,44.08,60.18,64.6,42.51,0,1.03,,3.49,3.49,0,93.74,79.1,6.26,20.9,,762.58,3.45,5.48,3.61,6.25,4.93,3.61,0.12,,,,,
ALPA,Alpa Laboratories Ltd.,,6.71,6.71,7.5,62.56,62.56,0,53.36,10.21,9.42,9.31,6.71,,19.13,17.65,17.44,12.58,10.73,14.54,8.55,0.04,0.71,,4.78,4.25,3.96,0,0,0,0,,149.84,1.33,6.98,1.3,0,1.11,1.3,0.1,,,,,
ALPHAGEO,Alphageo (India) Ltd.,,20.87,20.87,50.32,380.96,380.96,8,242.82,60.37,30.87,29.2,20.82,,24.86,12.71,12.02,8.57,5.46,8.06,4.72,0,0.55,,5.34,5.32,0,38.33,15.86,61.67,84.14,,110.45,0.71,2.87,1.27,61.66,0.81,1.27,0.07,,,,,
ALPSINDUS,Alps Industries Ltd.,,-21.66,-21.66,-20.38,-187.99,-187.99,0,77.32,-3.21,-4.48,-21.65,-21.66,,-4.14,-5.79,-28,-28.01,0,6.45,-183.69,-0.74,2.48,,0.13,0.13,13.24,0,0,0,0,,727.34,2.4,-57.97,0.04,0,-0.02,0.04,-6.41,,,,,
AMBICAAGAR,Ambica Agar Ltd.,,1.4,1.4,3.3,59.63,59.63,0,67.73,8.95,7.05,0.35,1.4,,13.21,10.41,0.51,2.06,2.34,6.55,1.09,0.62,0.54,,2.08,1.7,0.75,0,0,0,0,,107.3,0.92,6.98,0.39,0,0.44,0.39,0.05,,,,,
AMBIKCO,Ambika Cotton Mills Ltd.,,314.21,314.21,365.55,"1,266.14","1,266.14",35,"1,607.89",479.67,428.33,426.18,314.21,,29.83,26.63,26.5,19.54,24.81,32.61,21.84,0,1.27,,8.21,5.02,1.95,11.13,9.57,88.87,90.43,,"1,067.68",1.16,3.89,1.46,88.86,1.86,1.46,0.13,,,,,
AMDIND,AMD Industries Ltd.,,4.28,4.28,9.86,73.11,73.11,0.75,109.38,14.98,9.39,5.54,4.28,,13.69,8.58,5.06,3.91,5.85,10.49,2.77,0.62,0.78,,1.39,0.72,1.86,0,0,0,0,,161.97,0.77,5.64,0.42,0,0.63,0.42,0.09,,,,,
AMJLAND,AMJ Land Ltd.,,2.04,2.04,2.5,31.15,31.15,0.2,1.81,2.77,2.31,2.31,2.04,,152.81,127.64,127.64,112.84,6.55,7.17,6.23,0,0.06,,24.75,18.29,0,9.78,8,90.22,92,,125.03,16.84,11.02,16.98,90.21,0.99,16.98,0.07,,,,,
AMRUTANJAN,Amrutanjan Health Care Ltd.,,23,22.98,24.28,90.7,90.7,4.6,138.84,32.45,31.15,30.99,22.99,,23.37,22.43,22.31,16.55,25.34,33.42,19.2,0,1.3,,3.55,3.21,5.61,8.7,8.23,91.3,91.77,,"2,232.60",5.5,23.54,5.72,91.29,8.75,5.72,0.03,,,,,
ANANTRAJ,Anant Raj Ltd.,,1.9,1.73,2.39,88.49,88.49,0.12,11.96,3.55,3.06,2.35,1.89,,29.66,25.53,19.63,15.82,2.14,2.49,1.35,0.35,0.08,,3.76,1.85,0,5.28,4.18,94.72,95.82,,"2,864.62",8.11,27.35,5.54,94.71,0.75,5.54,0.03,,,,,
ANDHRAPAP,Andhra Paper Ltd.,,35.14,35.14,53.24,275.1,275.1,7.5,347.05,66.84,48.73,47.36,35.14,,19.25,14.04,13.64,10.12,12.77,16.23,9.32,0.05,0.98,,2.39,1.91,3.02,14.23,9.39,85.77,90.61,,"1,175.63",0.85,4.42,0.86,85.76,1.08,0.86,0.12,,,,,
ANDHRSUGAR,The Andhra Sugar Ltd.,,11.93,11.93,16.14,93.9,93.9,4,89.8,20.9,16.68,15.74,11.93,,23.27,18.57,17.52,13.28,12.7,15.4,9.82,0.04,0.76,,4.01,1.98,1.03,16.76,12.38,83.24,87.62,,"2,097.67",1.72,7.41,1.71,83.23,1.63,1.71,0.08,,,,,
ANIKINDS,Anik Industries Ltd.,,3.61,3.61,3.9,99.33,99.33,0,87.77,8.39,8.11,5.66,3.61,,9.56,9.24,6.45,4.11,3.63,8.06,1.55,0.15,0.38,,1.22,1.11,0.86,0,0,0,0,,103.42,0.42,4.44,0.33,0,0.29,0.33,0.13,,,,,
ANKITMETAL,Ankit Metal and Power Ltd.,,-3.66,-3.66,-0.65,-55.64,-55.64,0,53.63,-0.31,-3.32,-3.66,-3.66,,-0.58,-6.18,-6.82,-6.82,0,6.54,-4.23,-1.45,0.62,,0.38,0.07,0.79,0,0,0,0,,"1,266.44",1.67,-285.77,0.17,0,-0.16,0.17,-0.41,,,,,
ANTGRAPHIC,Antarctica Ltd.,,0,0,0.01,1.08,1.08,0,0.07,0.01,0,0,0,,12.47,1.42,1.19,1.46,0.09,0.07,0.07,0.17,0.05,,30.46,16.5,0.08,0,0,0,0,,38.41,37.22,298.44,34.7,0,2.14,34.74,0,,,,,
ANUP,The Anup Engineering Ltd.,,63.25,63.25,75.34,399.19,399.19,8,291.71,75.44,63.71,62.66,63.61,,25.86,21.83,21.48,21.8,15.93,15.48,11.97,0,0.6,,2.37,1.61,2.07,10.97,9.26,89.03,90.74,,732.99,2.54,9.83,2.73,89.02,1.99,2.73,0.08,,,,,
APEX,Apex Frozen Foods Ltd.,,13.15,13.15,19.07,152.14,152.14,2.5,292.54,29.47,23.55,17.99,13.15,,10.07,8.04,6.14,4.49,8.64,14.58,6.04,0.35,1.37,,2.39,1.23,3.61,15.21,10.48,84.79,89.52,,"1,027.13",1.12,11.15,0.95,84.78,1.83,0.95,0.05,,,,,
APLAPOLLO,APL Apollo Tubes Ltd.,,11.49,11.49,14.31,69.72,69.72,3.5,362.06,19.71,16.87,15.38,11.47,,5.44,4.65,4.24,3.16,16.45,20.52,8.95,0.22,3.01,,1.17,0.58,11.4,0,0,0,0,,"23,044.63",2.54,46.7,2.52,0,13.11,2.52,0.01,,,,,
APLLTD,Alembic Pharmaceuticals Ltd.,,27.65,27.65,42.15,269.16,269.16,10,256.19,48.84,34.34,33.48,27.65,,19.06,13.4,13.06,10.79,10.27,12.28,7.68,0.12,0.73,,1.74,0.85,0.83,50.62,33.21,49.38,66.79,,"15,179.32",3.01,15.81,2.89,49.37,2.75,2.89,0.04,,,,,
APOLLOTYRE,Apollo Tyres Ltd.,,4.11,4.11,17.08,149.87,149.87,3.25,230.66,24.53,11.55,5.52,4.11,,10.63,5,2.39,1.78,2.74,4.93,1.3,0.46,0.75,,0.93,0.45,4.18,85.14,20.48,14.86,79.52,,"15,997.62",1.09,10.27,0.83,14.85,1.28,0.83,0.02,,,,,
APOLSINHOT,Apollo Sindoori Hotels Ltd.,,39.38,39.38,49.75,221.57,221.57,0.75,766.77,63.74,53.37,49.17,39.38,,8.31,6.96,6.41,5.13,17.77,18.86,10.13,0.01,2.06,,2.6,2.52,0,3.17,2.51,96.83,97.49,,188,0.94,11.34,1.07,96.82,3.69,1.07,0.05,,,,,
ARCHIDPLY,Archidply Industries Ltd.,,4.27,4.27,6.29,46.45,46.45,0,154.18,10.24,8.21,5.86,4.27,,6.64,5.32,3.79,2.76,9.18,16.8,4.25,0.58,1.57,,1.44,0.94,2.79,0,0,0,0,,125.93,0.41,6.19,0.25,0,0.84,0.25,0.11,,,,,
