Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield,
3MINDIA,3M India Ltd.,,369.41,369.41,419.22,"1,729.09","1,729.09",950,"3,314.17",553.93,504.12,497.82,369.41,,16.71,15.21,15.02,11.14,21.36,28.38,14.27,0,1.21,,2.04,1.42,3.07,230.09,202.75,-130.09,-102.75,,"25,287.07",6.77,40.52,6.94,-130.09,13.31,6.94,0.02,
3PLAND,3p Land Holdings Ltd.,,0.85,0.85,0.91,37.61,37.61,0,1.4,1.19,1.14,1.14,0.85,,84.79,81.01,81.01,60.81,2.26,2.95,2.22,0,0.04,,"3,767.42","3,767.42",0,0,0,0,0,,36.65,14.52,17.12,14.56,0,0.54,14.56,0.04,
63MOONS,63 Moons Technologies Ltd.,,6.02,6.02,8.6,567.85,567.85,2,59.14,33.67,31.09,14.94,6.02,,56.93,52.57,25.27,10.18,1.06,5.43,0.97,0,0.1,,7.53,7.53,0,0,0,0,0,,-445.6,-1.64,-2.87,2.96,0,0.31,2.96,0.03,
AARTIIND,Aarti Industries Ltd.,,15.06,15.06,23.61,135.75,135.75,2.5,181.11,30.04,21.48,16.91,15.06,,16.58,11.86,9.33,8.31,11.09,13.43,6.35,0.58,0.8,,0.89,0.52,3.62,16.6,10.59,83.4,89.41,,"21,464.39",3.27,19.71,2.86,83.39,3.82,2.86,0.03,
AARVEEDEN,Aarvee Denim and Exports Ltd.,,-27.73,-27.73,-16.95,26.17,26.17,0,111.21,-10.87,-21.64,-41.21,-27.73,,-9.77,-19.45,-37.05,-24.93,-105.93,-22.14,-12.32,6.46,0.45,,0.9,0.5,1.14,0,0,0,0,,433.17,1.66,-16.99,0.17,0,0.71,0.17,-1.49,
AAVAS,AAVAS Financiers  Ltd.,,54.44,54.32,58.03,413.57,413.57,0,203.44,147.84,144.21,69.44,54.4,,72.67,70.88,34.13,26.74,13.15,23.39,3.2,3.01,0.13,,1.56,1.56,0,0,0,0,0,,"21,154.42",13.15,18.1,7.89,0,3.88,7.89,0.03,
ABAN,Aban Offshore Ltd.,,-19.71,-19.71,-13.16,-150.88,-150.88,0,13.02,-14.93,-21.47,-17.33,-19.7,,-114.67,-164.88,-133.08,-151.31,0,14.22,-16.81,-0.77,0.1,,0.27,0.25,0.05,0,0,0,0,,867.28,11.41,-9.95,2.57,0,-0.22,2.57,-0.59,
ABFRL,Aditya Birla Fashion & Retail Ltd.,,1.4,1.39,13.14,39.91,39.91,0,123.7,17.97,6.22,1.75,1.4,,14.52,5.03,1.41,1.12,3.49,6.61,0.85,0.54,0.87,,0.98,0.41,0.34,0,0,0,0,,"21,719.46",1.85,12.74,1.73,0,5.37,1.73,0.01,
ABHISHEK,Abhishek Corporation Ltd.,,-10.62,-10.62,-3.35,-566.96,-566.96,0,10.36,-3.35,-10.61,-10.61,-10.61,,-32.37,-102.43,-102.43,-102.43,0,1.87,-29.43,-0.03,0.26,,0.01,0.01,0,0,0,0,0,,24.95,1.5,-4.65,0.06,0,0,0.06,-18.62,
ACCELYA,Accelya Solutions India Ltd.,,79.39,79.39,102.02,168.58,168.58,65,275.74,122.34,99.71,106.11,79.39,,44.36,36.16,38.48,28.79,47.09,56.81,35.41,0,1.23,,2.86,2.86,0,100.76,78.41,-0.76,21.59,,"1,960.29",4.76,10.73,4.8,-0.76,7.85,4.8,0.06,
