Company_Name,Revenue,Net Profit,EPS,BVPS,ROE,Debt to Equity,Symbol,URL
20 Microns Limited,701,41,11.85,83.5,14.24,0.35,20MICRONS,https://www.moneycontrol.com/india/stockpricequote/miningminerals/20microns/2M
3i Infotech Limited,3959,451,400.37,1489.09,26.88,0,3IINFOLTD,https://www.moneycontrol.com/india/stockpricequote/computers-software/3iinfotech/I11
3M India Limited,3959,451,400.37,1489.09,26.88,0,3MINDIA,https://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42
3P Land Holdings Limited,2,1,0.85,36.7,2.32,0,3PLAND,https://www.moneycontrol.com/india/stockpricequote/paper/3plandholdings/PI36
63 moons technologies limited,290,-21,-3.54,670.7,-0.52,0,63MOONS,https://www.moneycontrol.com/india/stockpricequote/computers-software/63moonstechnologies/FT02
Aakash Exploration Services Limited,92,4,0.45,5.17,8.67,0.35,AAKASH,https://www.moneycontrol.com/india/stockpricequote/engineering-heavy/aakashexplorationservices/AES01
Aarey Drugs & Pharmaceuticals Limited,418,3,1.49,46.25,3.21,0.32,AAREYDRUGS,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aareydrugspharmaceuticals/ADP
Aartech Solonics Limited,21,1,1.82,28.68,6.35,0.09,AARTECH,https://www.moneycontrol.com/india/stockpricequote/electronics-components/aartechsolonics/AS27
Aarti Industries Limited,6618,545,15.04,135.75,11.08,0.58,AARTIIND,https://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45
Aarti Pharmalabs Limited,1511,171,18.95,158.74,11.93,0.14,AARTIPHARM,https://www.moneycontrol.com/india/stockpricequote/medical-equipmentsuppliesaccessories/aartipharmalabs/AP21
Aarti Surfactants Limited,601,12,16.64,211.7,7.56,0.76,AARTISURF,https://www.moneycontrol.com/india/stockpricequote/diversified-chemicals/aartisurfactants/ASL08
Aarvee Denims & Exports Limited,260,-69,-27.73,26.17,-105.93,6.46,AARVEEDEN,https://www.moneycontrol.com/india/stockpricequote/textiles-denim/aarveedenimexports/ADE
Aarvi Encon Limited,382,14,9.55,63.42,15.05,0.04,AARVI,https://www.moneycontrol.com/india/stockpricequote/diversified/aarviencon/AE19
Aavas FiNaNciers Limited,1608,429,54.38,413.57,13.14,3.01,AAVAS,https://www.moneycontrol.com/india/stockpricequote/finance-general/aavasfinanciers/AF17
Aban Offshore Limited,396,-1088,-186.9,-3820.23,0,-0.68,ABAN,https://www.moneycontrol.com/india/stockpricequote/oil-drillingexploration/abanoffshore/AO04
Aditya Birla Fashion and Retail Limited,12417,-66,-0.38,35.27,-1.07,0.69,ABFRL,https://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR
Abhishek Corporation Limited,16,-16,-10.62,-566.96,0,-0.03,ABHISHEK,https://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cotton-blended/abhishekcorporation/AC22
ABM International Limited,85,-6,-7.12,19.34,-36.81,0,ABMINTLLTD,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abminternational/ABM02
Aditya Birla Sun Life AMC Limited,1205,590,20.52,87.12,23.55,0,ABSLAMC,https://www.moneycontrol.com/india/stockpricequote/finance-investment/adityabirlasunlifeamc/ABS
ACC Limited,22210,869,47.13,752.27,6.26,0,ACC,https://www.moneycontrol.com/india/stockpricequote/cement-major/acc/ACC06
Accelya Solutions India Limited,469,126,84.9,180.91,46.92,0,ACCELYA,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/accelyasolutionsindia/KAL
Accuracy Shipping Limited,877,8,0.55,7.68,7.1,0.94,ACCURACY,https://www.moneycontrol.com/india/stockpricequote/shipping/accuracyshipping/AS26
Action Construction Equipment Limited,2159,172,14.41,77.27,18.68,0.01,ACE,https://www.moneycontrol.com/india/stockpricequote/engineering-heavy/actionconstructionequipment/ACE3
Ace Integrated Solutions Limited,6,0,0.47,18.09,2.54,0.01,ACEINTEG,https://www.moneycontrol.com/india/stockpricequote/misc-commercial-services/aceintegratedsolutions/AIS
Archean Chemical Industries Limited,1441,383,34.76,116.41,26.78,0.02,ACI,https://www.moneycontrol.com/india/stockpricequote/chemicals/archeanchemicalindustries/ACI05
Andhra Cements Limited,0,949,34.82,38.54,267.31,1.48,ACL,https://www.moneycontrol.com/india/stockpricequote/cement-major/andhracement/AC16
Adani Enterprises Limited,136977,2208,21.78,322.04,7.75,1.2,ADANIENT,https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13
Adani Green Energy Limited,7792,914,5.41,37.41,16.56,8.99,ADANIGREEN,https://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/adanigreenenergylimited/ADANI54145
Adani Power Limited,38773,10726,24.57,42.56,65.35,2.56,ADANIPOWER,https://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/adanipower/AP11
ADF Foods Limited,450,55,25.62,188.64,13.38,0,ADFFOODS,https://www.moneycontrol.com/india/stockpricequote/food-processing/adffoodsindustries/AF30
Archidply Decor Limited,50,0,1.31,91.01,1.44,0.31,ADL,https://www.moneycontrol.com/india/stockpricequote/woodwood-products/archidplydecor/ADL
Ador Welding Limited,776,59,43.6,237.88,18.32,0.05,ADORWELD,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/adorwelding/AW01
Adroit Infotech Limited,22,3,1.99,7.11,26.24,0.23,ADROITINFO,https://www.moneycontrol.com/india/stockpricequote/computers-software/adroitinfotech/CC22
Allied Digital Services Limited,660,53,1.27,104.18,1.29,0.07,ADSL,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/allieddigitalservices/ADS01
Advani Hotels & Resorts (India) Limited,98,28,6.19,13.57,45.6,0.01,ADVANIHOTR,https://www.moneycontrol.com/india/stockpricequote/hotels/advanihotelsresortsindia/AHR
Advanced Enzyme Technologies Limited,540,103,9.45,114.84,8.55,0.01,ADVENZYMES,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET
Aegis Logistics Limited,8627,510,13.19,115.28,13.1,0.28,AEGISCHEM,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9
Aether Industries Limited,651,130,10.47,99.96,10.47,0,AETHER,https://www.moneycontrol.com/india/stockpricequote/speciality-chemicals/aetherindustries/AI84
Affle (India) Limited,1433,246,18.43,110.17,16.69,0.07,AFFLE,https://www.moneycontrol.com/india/stockpricequote/it-servicesconsulting/affleindia/AI82
Agarwal Industrial Corporation Limited,2015,92,63.78,269.9,22.85,0.34,AGARIND,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/agarwalindustrialcorporation/AIC03
AGI Greenpac Limited,2281,248,40.44,248.31,16.28,0.46,AGI,https://www.moneycontrol.com/india/stockpricequote/containerspackaging/agigreenpac/HSI02
Agri-Tech (India) Limited,0,0,-0.64,154.06,-0.42,0.09,AGRITECH,https://www.moneycontrol.com/india/stockpricequote/fertilisers/agri-techindia/ATI02
Agro Phos India Limited,131,5,2.47,25.67,9.61,0.52,AGROPHOS,https://www.moneycontrol.com/india/stockpricequote/diversified/agrophosindia/API
AGS Transact Technologies Limited,1210,14,1.24,47.78,2.58,1.28,AGSTRA,https://www.moneycontrol.com/india/stockpricequote/online-services/agstransacttechnologies/ATT
Abans Holdings Limited,1,1,0.22,22.2,0.95,0,AHL,https://www.moneycontrol.com/india/stockpricequote/finance-nbfc/abansholdings/AH10
Ahlada Engineers Limited,158,5,3.94,97.26,4.05,0.26,AHLADA,https://www.moneycontrol.com/india/stockpricequote/engineering/ahladaengineers/AE21
Asian Hotels (East) Limited,93,23,14.19,117.35,12.08,0,AHLEAST,https://www.moneycontrol.com/india/stockpricequote/hotels/asianhotelseast/AHE01
Ahluwalia Contracts (India) Limited,2838,194,28.96,183.37,15.79,0,AHLUCONT,https://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/ahluwaliacontractsindia/ACI12
AIA Engineering Limited,4908,1056,111.95,604.35,18.55,0.09,AIAENG,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01
Airan Limited,97,10,0.81,9.77,9.1,0.04,AIRAN,https://www.moneycontrol.com/india/stockpricequote/software/airan/A09
Airo Lam limited,199,7,4.93,42.67,11.55,0.79,AIROLAM,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/airolam/AL08
Ajanta Pharma Limited,3742,587,45.89,268.14,17.35,0,AJANTPHARM,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22
Ajmera Realty & Infra India Limited,431,71,20.22,251.7,9.25,1.07,AJMERA,https://www.moneycontrol.com/india/stockpricequote/constructioncontracting-real-estate/ajmerarealtyinfraindia/ARI03
