Company Name,Symbol,Report URL 2022-2023,Report URL 2021-2022,Report URL 2020-2021,Report URL 2019-2020,Report URL 2018-2019
20 Microns Limited,20MICRONS,https://nsearchives.nseindia.com/annual_reports/AR_22393_20MICRONS_2022_2023_17072023155139_07172023160000.zip,https://nsearchives.nseindia.com/annual_reports/AR_20114_20MICRONS_2021_2022_27062022163505_06272022170002.zip,https://nsearchives.nseindia.com/annual_reports/AR_19275_20MICRONS_2020_2021_03092021173009.zip,https://nsearchives.nseindia.com/annual_reports/AR_17134_20MICRONS_2019_2020_02092020145559_02092020150003.zip,https://nsearchives.nseindia.com/annual_reports/AR_15161_20MICRONS_2018_2019_08082019111700_08082019120005.zip
3M India Limited,3MINDIA,https://nsearchives.nseindia.com/annual_reports/AR_22598_3MINDIA_2022_2023_01082023181605_08012023190012.zip,https://nsearchives.nseindia.com/annual_reports/AR_20502_3MINDIA_2021_2022_28072022161243_07282022170014.zip,https://nsearchives.nseindia.com/annual_reports/AR_18526_3MINDIA_2020_2021_27072021141934_27072021150003.zip,https://nsearchives.nseindia.com/annual_reports/AR_16525_3MINDIA_2019_2020_21072020121525_21072020130002.zip,https://nsearchives.nseindia.com/annual_reports/AR_14904_3MINDIA_2018_2019_16072019161323_16072019170004.zip
3P Land Holdings Limited,3PLAND,https://nsearchives.nseindia.com/annual_reports/AR_22284_3PLAND_2022_2023_11072023145741_07112023150001.zip,https://nsearchives.nseindia.com/annual_reports/AR_20331_3PLAND_2021_2022_12072022154809_07122022160006.zip,https://nsearchives.nseindia.com/annual_reports/AR_18654_3PLAND_2020_2021_07082021160657_07082021170001.zip,https://nsearchives.nseindia.com/annual_reports/AR_16697_3PLAND_2019_2020_08082020184508_08082020190001.zip,https://nsearchives.nseindia.com/annual_reports/AR_14634_3PLAND_2018_2019_28062019175543_28062019180017.zip
63 moons technologies limited,63MOONS,https://nsearchives.nseindia.com/annual_reports/AR_23046_63MOONS_2022_2023_29082023130732_08292023140000.zip,https://nsearchives.nseindia.com/annual_reports/AR_20956_63MOONS_2021_2022_30082022125408_08302022130004.zip,https://nsearchives.nseindia.com/annual_reports/AR_18854_63MOONS_2020_2021_24082021122538_24082021130002.zip,https://nsearchives.nseindia.com/annual_reports/AR_17800_63MOONS_2019_2020_09112020181716_17112020113851.zip,https://nsearchives.nseindia.com/annual_reports/AR_15337_63MOONS_2018_2019_23082019183933_23082019190011.zip
Aarti Industries Limited,AARTIIND,https://nsearchives.nseindia.com/annual_reports/AR_22299_AARTIIND_2022_2023_12072023163506_07122023170004.zip,https://nsearchives.nseindia.com/annual_reports/AR_21268_AARTIIND_2021_2022_03092022202616.zip,https://nsearchives.nseindia.com/annual_reports/AR_19405_AARTIIND_2020_2021_04092021215801_09042021220021.zip,https://nsearchives.nseindia.com/annual_reports/AR_16949_AARTIIND_2019_2020_28082020181542.zip,https://nsearchives.nseindia.com/annual_reports/AR_15332_AARTIIND_2018_2019_23082019173254_23082019180013.zip
Aarvee Denims & Exports Limited,AARVEEDEN,https://nsearchives.nseindia.com/annual_reports/AR_23521_AARVEEDEN_2022_2023_05092023171934_09052023180027.zip,https://nsearchives.nseindia.com/annual_reports/AR_21370_AARVEEDEN_2021_2022_05092022174720_09052022180008.zip,https://nsearchives.nseindia.com/annual_reports/AR_19274_AARVEEDEN_2020_2021_03092021172623_09032021180019.zip,https://nsearchives.nseindia.com/annual_reports/AR_17909_AARVEEDEN_2019_2020_04122020111602_04122020120006.zip,https://nsearchives.nseindia.com/annual_reports/AR_15541_AARVEEDEN_2018_2019_31082019152143_31082019160006.zip
Aavas FiNaNciers Limited,AAVAS,https://nsearchives.nseindia.com/annual_reports/AR_22071_AAVAS_2022_2023_26062023162823_06262023170000.zip,https://nsearchives.nseindia.com/annual_reports/AR_20116_AAVAS_2021_2022_27062022180131_06272022190002.zip,https://nsearchives.nseindia.com/annual_reports/AR_18453_AAVAS_2020_2021_19072021152519_19072021160003.zip,https://nsearchives.nseindia.com/annual_reports/AR_16345_AAVAS_2019_2020_30062020125230_30062020130001.zip,https://nsearchives.nseindia.com/annual_reports/AR_16245_AAVAS_2018_2019_04042020100538_04042020110002.zip
Aban Offshore Limited,ABAN,https://nsearchives.nseindia.com/annual_reports/AR_22846_ABAN_2022_2023_21082023182648_08212023190000.zip,https://nsearchives.nseindia.com/annual_reports/AR_21355_ABAN_2021_2022_05092022164827_09052022170031.zip,https://nsearchives.nseindia.com/annual_reports/AR_18778_ABAN_2020_2021_19082021183655_19082021190002.zip,https://nsearchives.nseindia.com/annual_reports/AR_16829_ABAN_2019_2020_21082020211946_21082020220005.zip,https://nsearchives.nseindia.com/annual_reports/AR_15214_ABAN_2018_2019_14082019161026_14082019170004.zip
Aditya Birla Fashion and Retail Limited,ABFRL,https://nsearchives.nseindia.com/annual_reports/AR_23309_ABFRL_2022_2023_02092023204633_09022023210003.zip,https://nsearchives.nseindia.com/annual_reports/AR_20712_ABFRL_2021_2022_13082022195502_08132022200002.zip,https://nsearchives.nseindia.com/annual_reports/AR_18769_ABFRL_2020_2021_18082021232354_19082021070002.zip,https://nsearchives.nseindia.com/annual_reports/AR_16749_ABFRL_2019_2020_16082020184136_16082020190002.zip,https://nsearchives.nseindia.com/annual_reports/AR_15046_ABFRL_2018_2019_27072019192716_27072019200005.zip
Abhishek Corporation Limited,ABHISHEK,https://nsearchives.nseindia.com/annual_reports/AR_23230_ABHISHEK_2022_2023_01092023195843_09012023200001.zip,https://nsearchives.nseindia.com/annual_reports/AR_21111_ABHISHEK_2021_2022_02092022175730_09022022180013.zip,https://nsearchives.nseindia.com/annual_reports/AR_19476_ABHISHEK_2020_2021_06092021155840_09062021160007.zip,https://nsearchives.nseindia.com/annual_reports/AR_18048_ABHISHEK_2019_2020_23012021113229_23012021120008.zip,https://nsearchives.nseindia.com/annual_reports/AR_15657_ABHISHEK_2018_2019_03092019162252_03092019170010.zip
Accelya Solutions India Limited,ACCELYA,https://nsearchives.nseindia.com/annual_reports/AR_23907_ACCELYA_2022_2023_22092023182015_09222023190000.zip,https://nsearchives.nseindia.com/annual_reports/AR_21809_ACCELYA_2021_2022_23092022155141_09232022160002.zip,https://nsearchives.nseindia.com/annual_reports/AR_19799_ACCELYA_2020_2021_01102021173133_10012021180004.zip,https://nsearchives.nseindia.com/annual_reports/AR_17742_ACCELYA_2019_2020_06102020152655_06102020160001.zip,https://nsearchives.nseindia.com/annual_reports/AR_16117_ACCELYA_2018_2019_30092019185051_30092019190003.zip
