Company_Name,Revenue,Net Profit,EPS,BVPS,ROE,Debt to Equity,Symbol,URL
3M India Limited,3959.0,451.0,400.37,1489.09,26.88,0.0,3MINDIA,https://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42
3P Land Holdings Limited,2.0,1.0,0.85,36.7,2.32,0.0,3PLAND,https://www.moneycontrol.com/india/stockpricequote/paper/3plandholdings/PI36
63 moons technologies limited,290.0,-21.0,-3.54,670.7,-0.52,0.0,63MOONS,https://www.moneycontrol.com/india/stockpricequote/computers-software/63moonstechnologies/FT02
Aarti Industries Limited,6618.0,545.0,15.04,135.75,11.08,0.58,AARTIIND,https://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45
Aarvee Denims & Exports Limited,260.0,-69.0,-27.73,26.17,-105.93,6.46,AARVEEDEN,https://www.moneycontrol.com/india/stockpricequote/textiles-denim/aarveedenimexports/ADE
Aavas FiNaNciers Limited,1608.0,429.0,54.38,413.57,13.14,3.01,AAVAS,https://www.moneycontrol.com/india/stockpricequote/finance-general/aavasfinanciers/AF17
Aban Offshore Limited,396.0,-1088.0,-186.9,-3820.23,0.0,-0.68,ABAN,https://www.moneycontrol.com/india/stockpricequote/oil-drillingexploration/abanoffshore/AO04
Aditya Birla Fashion and Retail Limited,12417.0,-66.0,-0.38,35.27,-1.07,0.69,ABFRL,https://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR
Abhishek Corporation Limited,16.0,-16.0,-10.62,-566.96,0.0,-0.03,ABHISHEK,https://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cotton-blended/abhishekcorporation/AC22
Accelya Solutions India Limited,469.0,126.0,84.9,180.91,46.92,0.0,ACCELYA,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/accelyasolutionsindia/KAL
Action Construction Equipment Limited,2159.0,172.0,14.41,77.27,18.68,0.01,ACE,https://www.moneycontrol.com/india/stockpricequote/engineering-heavy/actionconstructionequipment/ACE3
Adani Enterprises Limited,136977.0,2208.0,21.78,322.04,7.75,1.2,ADANIENT,https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13
Adani Green Energy Limited,7792.0,914.0,5.41,37.41,16.56,8.99,ADANIGREEN,https://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/adanigreenenergylimited/ADANI54145
ADF Foods Limited,450.0,55.0,25.62,188.64,13.38,0.0,ADFFOODS,https://www.moneycontrol.com/india/stockpricequote/food-processing/adffoodsindustries/AF30
Ador Welding Limited,776.0,59.0,43.6,237.88,18.32,0.05,ADORWELD,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/adorwelding/AW01
Adroit Infotech Limited,22.0,3.0,1.99,7.11,26.24,0.23,ADROITINFO,https://www.moneycontrol.com/india/stockpricequote/computers-software/adroitinfotech/CC22
