Company Name:  One 97 Communications Paytm Ltd.
31-Dec-2023
Name,% Holding
SAIF III Mauritius Company Limited,10.83
Resilient Asset Management B V,10.29
Antfin (Netherlands) Holding B.V.,9.89
Vijay Shekhar Sharma,9.11
SVF India Holdings (Cayman) Limited,6.46
Axis Trustee Services Limited,4.88
SAIF Partners India IV Limited,4.60
Mirae Mutual Funds,2.51
Canada Pension Plan Investment Board,1.77
ICICI Prudential Nifty Financial Services Ex-Bank ETF - Regular Plan - (G),1.54
Bnp Paribas Arbitrage,1.33
Nippon Mutual Funds,1.05
ICICI Prudential Nifty Midcap 150 Index Fund - Direct Plan (IDCW),0.64
ICICI Prudential Nifty Midcap 150 Index Fund - Regular Plan (G),0.64
ICICI Prudential Nifty Midcap 150 ETF,0.64
ICICI Prudential Nifty Midcap 150 Index Fund - Direct Plan (G),0.64
ICICI Prudential Nifty Midcap 150 Index Fund - Regular Plan (IDCW),0.64
HUF,0.35
LLP,0.08
Trusts,0.03
Clearing Members,0.00

30-Sep-2023
Name,% Holding
SAIF III Mauritius Company Limited,10.84
Resilient Asset Management B V,10.30
Antfin (Netherlands) Holding B.V.,9.90
Vijay Shekhar Sharma,9.12
SVF India Holdings (Cayman) Limited,8.34
Axis Trustee Services Limited,4.88
SAIF Partners India Iv Limited,4.60
BH International Holdings,2.46
Canada Pension Plan Investment Board,1.77
Bnp Paribas Arbitrage,1.59
Mirae Mutual Funds,1.47
Aditya Birla Sun Life Digital India Fund - Direct Plan (D),1.42
Aditya Birla Sun Life Digital India Fund - Direct Plan (G),1.42
Aditya Birla Sun Life Digital India Fund (G),1.42
Aditya Birla Sun Life Digital India Fund (D),1.42
Societe Generale - Odi,1.13
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Regular Plan - (G),0.84
Nippon India Nifty Midcap 150 Index Fund - Regular Plan (G),0.84
SBI Nifty Midcap 150 Index Fund - Direct Plan (IDCW),0.84
Nippon India Nifty Midcap 150 Index Fund - Direct Plan (G),0.84
SBI Nifty Midcap 150 Index Fund - Direct Plan (G),0.84
Nippon India Nifty Midcap 150 Index Fund - Direct Plan (D),0.84
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Regular Plan - (D),0.84
SBI Nifty Midcap 150 Index Fund - Regular Plan (IDCW),0.84
Nippon India ETF Nifty Midcap 150,0.84
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Direct Plan - (G),0.84
Nippon India Nifty Midcap 150 Index Fund - Regular Plan (D),0.84
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Direct Plan - (D),0.84
SBI Nifty Midcap 150 Index Fund - Regular Plan (G),0.84
Aditya Birla Sun Life ESG Fund - Regular Plan - (D),0.58
Aditya Birla Sun Life ESG Fund - Regular Plan - (G),0.58
Aditya Birla Sun Life ESG Fund - Direct Plan - (G),0.58
Aditya Birla Sun Life ESG Fund - Direct Plan - (D),0.58
Aditya Birla Sun Life Special Opportunities Fund - Regular Plan (G),0.51
Aditya Birla Sun Life Banking And Financial Services Fund - Regular Plan (D),0.51
Aditya Birla Sun Life Special Opportunities Fund - Direct Plan (G),0.51
Aditya Birla Sun Life Banking And Financial Services Fund - Direct Plan (G),0.51
Aditya Birla Sun Life Special Opportunities Fund - Direct Plan (D),0.51
Aditya Birla Sun Life Banking And Financial Services Fund - Direct Plan (D),0.51
Aditya Birla Sun Life Banking And Financial Services Fund - Regular Plan (G),0.51
Aditya Birla Sun Life Special Opportunities Fund - Regular Plan (D),0.51
Aditya Birla Sun Life Equity Advantage Fund - Direct Plan (D),0.48
Aditya Birla Sun Life Equity Advantage Fund (G),0.48
Aditya Birla Sun Life Equity Advantage Fund (D),0.48
Aditya Birla Sun Life Equity Advantage Fund - Direct Plan (G),0.48
Aditya Birla Sun Life Equity Hybrid 95 Fund - Direct Plan (G),0.47
Aditya Birla Sun Life Equity Hybrid 95 Fund - Direct Plan (D),0.47
Aditya Birla Sun Life Equity Hybrid 95 Fund (G),0.47
Aditya Birla Sun Life Equity Hybrid 95 Fund (D),0.47
Aditya Birla Sun Life Flexi Cap Fund (G),0.36
Aditya Birla Sun Life Flexi Cap Fund (D),0.36
Aditya Birla Sun Life Flexi Cap Fund - Direct Plan (G),0.36
Aditya Birla Sun Life Flexi Cap Fund - Direct Plan (D),0.36
Aditya Birla Sun Life Frontline Equity Fund - Direct Plan (D),0.27
Aditya Birla Sun Life Frontline Equity Fund (G),0.27
Aditya Birla Sun Life Frontline Equity Fund (D),0.27
Aditya Birla Sun Life Frontline Equity Fund - Direct Plan (G),0.27
HUF,0.21
Trusts,0.03
LLP,0.03
Clearing Members,0.00

30-Jun-2023
Name,% Holding
Antfin (Netherlands) Holding B.V.,23.79
SAIF III Mauritius Company Limited,10.84
SVF India Holdings (Cayman) Limited,9.18
Vijay Shekhar Sharma,9.12
Axis Trustee Services Limited,4.88
