Company_Name,Symbol,URL
3M India Limited,3MINDIA,https://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42
3P Land Holdings Limited,3PLAND,https://www.moneycontrol.com/india/stockpricequote/paper/3plandholdings/PI36
63 moons technologies limited,63MOONS,https://www.moneycontrol.com/india/stockpricequote/computers-software/63moonstechnologies/FT02
Aarti Industries Limited,AARTIIND,https://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45
Aarvee Denims & Exports Limited,AARVEEDEN,https://www.moneycontrol.com/india/stockpricequote/textiles-denim/aarveedenimexports/ADE
Aavas FiNaNciers Limited,AAVAS,https://www.moneycontrol.com/india/stockpricequote/finance-general/aavasfinanciers/AF17
Aban Offshore Limited,ABAN,https://www.moneycontrol.com/india/stockpricequote/oil-drillingexploration/abanoffshore/AO04
Aditya Birla Fashion and Retail Limited,ABFRL,https://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR
Abhishek Corporation Limited,ABHISHEK,https://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cotton-blended/abhishekcorporation/AC22
Accelya Solutions India Limited,ACCELYA,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/accelyasolutionsindia/KAL
Action Construction Equipment Limited,ACE,https://www.moneycontrol.com/india/stockpricequote/engineering-heavy/actionconstructionequipment/ACE3
Adani Enterprises Limited,ADANIENT,https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13
Adani Green Energy Limited,ADANIGREEN,https://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/adanigreenenergylimited/ADANI54145
ADF Foods Limited,ADFFOODS,https://www.moneycontrol.com/india/stockpricequote/food-processing/adffoodsindustries/AF30
Ador Welding Limited,ADORWELD,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/adorwelding/AW01
Adroit Infotech Limited,ADROITINFO,https://www.moneycontrol.com/india/stockpricequote/computers-software/adroitinfotech/CC22
Allied Digital Services Limited,ADSL,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/allieddigitalservices/ADS01
Advani Hotels & Resorts (India) Limited,ADVANIHOTR,https://www.moneycontrol.com/india/stockpricequote/hotels/advanihotelsresortsindia/AHR
Agarwal Industrial Corporation Limited,AGARIND,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/agarwalindustrialcorporation/AIC03
AGI Greenpac Limited,AGI,https://www.moneycontrol.com/india/stockpricequote/containerspackaging/agigreenpac/HSI02
Agri-Tech (India) Limited,AGRITECH,https://www.moneycontrol.com/india/stockpricequote/fertilisers/agri-techindia/ATI02
Agro Phos India Limited,AGROPHOS,https://www.moneycontrol.com/india/stockpricequote/diversified/agrophosindia/API
AIA Engineering Limited,AIAENG,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01
Airan Limited,AIRAN,https://www.moneycontrol.com/india/stockpricequote/software/airan/A09
Ajanta Pharma Limited,AJANTPHARM,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22
Ajmera Realty & Infra India Limited,AJMERA,https://www.moneycontrol.com/india/stockpricequote/constructioncontracting-real-estate/ajmerarealtyinfraindia/ARI03
AksharChem India Limited,AKSHARCHEM,https://www.moneycontrol.com/india/stockpricequote/dyespigments/aksharchemindia/AI29
Aksh Optifibre Limited,AKSHOPTFBR,https://www.moneycontrol.com/india/stockpricequote/cables-telephone/akshoptifibre/AO03
Akzo Nobel India Limited,AKZOINDIA,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI
Albert David Limited,ALBERTDAVD,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/albertdavid/AD01
Alembic Limited,ALEMBICLTD,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembic/A08
Alkali Metals Limited,ALKALI,https://www.moneycontrol.com/india/stockpricequote/chemicals/alkalimetals/AM11
Alkem Laboratories Limited,ALKEM,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05
